id,area,user_task,common_label_or_location,expected_outcome,avalonia_evidence,macos_evidence,method,status,page,screenshot,last_verified,notes
F001,Start,Open file from welcome screen,Open File...,File chooser opens and compatible input loads,MainWindow welcome action,MainWindowController open action,live smoke + source,verified,quick-start,,2026-08-22,
F002,Files,Open files from menu,File > Open...,Selected compatible files load into the data list,AppMenuController + readers,AppDelegate/MainWindowController + shared readers,source + reader tests,verified,installation-files-projects,,2026-08-22,
F003,Files,Drag compatible files into window,Drag and drop,Dropped compatible files load,MainWindow drag handlers,MainWindowController drag handlers,source inspection,verified,installation-files-projects,,2026-08-22,
F004,Files,Import MicroCal raw data,.itc,Experiment with thermogram and injections is created,ITC reader via shared core,ITC reader via shared core,reader tests,verified,installation-files-projects,,2026-08-22,
F005,Files,Import VP-ITC data,.vpitc,Experiment with thermogram and injections is created,ITCDataFormat registry,shared core reader,source + reader tests,verified,installation-files-projects,,2026-08-22,
F006,Files,Import TA Instruments export,.ta,Supported experiment data are created,TA reader via shared core,TA reader via shared core,reader tests,verified,installation-files-projects,,2026-08-22,
F007,Files,Import PEAQ project export,.apj,Supported experiment content is imported,APJ reader via shared core,APJ reader via shared core,reader tests,verified,installation-files-projects,,2026-08-22,Source-project-only content is outside native project semantics
F008,Files,Import integrated heats,.dat .aff .dh,Injection heats load without thermogram processing,shared readers and workspace gating,shared readers and view gating,source + reader tests,verified,quick-start,,2026-08-22,
F009,Projects,Open current project,.ftxtc,Portable project state is restored,FTXTC reader and open flow,shared reader and native open flow,round-trip tests,verified,installation-files-projects,,2026-08-22,
F010,Projects,Append or replace project,Open project prompt,Project contents append or replace as chosen,Avalonia project-open dialog,native project-open flow,source inspection,verified,installation-files-projects,,2026-08-22,
F011,Projects,Import legacy project,.ftitc,Legacy content loads and can be saved as current format,legacy reader and save flow,shared legacy reader and native save flow,source + compatibility tests,verified,installation-files-projects,,2026-08-22,
